Movie Name,Genre,Ratings,Voting Counts,Duration
Cold Wallet,Thriller,5.2, 466,1h 33m
The Courier,Thriller,6.0, 4.4K,1h 41m
Dead Mail,Thriller,6.7, 298,1h 46m
Milk & Serial,Thriller,6.6, 2.5K,1h 2m
Joe Baby,Thriller,7.3, 30,1h 26m
Last Night on Earth,Thriller,4.8, 356,1h 26m
The Silent Planet,Thriller,4.8, 215,1h 35m
House of Spoils,Thriller,5.0, 3.8K,1h 41m
Out Come the Wolves,Thriller,4.7, 1.5K,1h 26m
Bogota: City of the Lost,Thriller,5.4, 1.9K,1h 48m
Air Force One Down,Thriller,4.4, 2.9K,1h 24m
11 Rebels,Thriller,6.2, 360,2h 35m
Sons,Thriller,6.5, 1.7K,1h 40m
Love Me Dead,Thriller,6.7, 34,1h 27m
Barron's Cove,Thriller,8.2, 28,1h 56m
The Red,Thriller,4.1, 840,1h 23m
A Mistake,Thriller,5.5, 749,1h 41m
Cloud,Thriller,6.3, 1K,2h 4m
Manjummel Boys,Thriller,8.2, 27K,2h 15m
Anweshippin Kandethum,Thriller,7.4, 10K,2h 22m
Blame the Game,Thriller,5.4, 5.1K,1h 32m
The Soul Eater,Thriller,5.9, 2.5K,1h 48m
Cinderella's Curse,Thriller,3.3, 1.3K,1h 22m
Shell,Thriller,6.7, 69,1h 40m
Curse of the Seven Oceans,Thriller,5.6, 383,1h 34m
Ulajh,Thriller,6.0, 24K,2h 30m
The Kingdom,Thriller,6.9, 719,1h 52m
Article 370,Thriller,7.8, 25K,2h 38m
Darkness of Man,Thriller,4.8, 3.1K,1h 49m
Latency,Thriller,4.2, 2.4K,1h 34m
Elyas,Thriller,6.1, 1.3K,1h 45m
Mom,Thriller,5.2, 184,1h 35m
Desert Fiends,Thriller,8.3, 420,1h 46m
The Image of You,Thriller,4.6, 822,1h 30m
Operation Blood Hunt,Thriller,3.4, 477,1h 33m
Cinderella's Revenge,Thriller,3.7, 1.1K,1h 25m
Clear Cut,Thriller,3.7, 551,1h 28m
Inside,Thriller,7.1, 229,1h 44m
Marmalade,Thriller,6.3, 3.5K,1h 39m
Life After Fighting,Thriller,6.4, 2K,2h 6m
CTRL,Thriller,6.2, 6K,1h 39m
Seven Cemeteries,Thriller,4.5, 553,1h 24m
Motel Destino,Thriller,6.5, 1.6K,1h 55m
Here After,Thriller,4.1, 1.3K,1h 33m
King Ivory,Thriller,7.3, 63,2h 10m
Cult Killer,Thriller,4.8, 2.8K,1h 45m
Raqa,Thriller,5.7, 177,1h 47m
The Ruse,Thriller,8.1, 108,1h 45m
Compulsion,Thriller,6.3, 12,1h 34m
Footage,Thriller,5.4, 2.4K,2h 4m
Lights Out,Thriller,4.9, 1.8K,1h 30m
Taboo: Family Secrets,Thriller,7.8, 738,1h 35m
Bosco,Thriller,5.6, 3.9K,1h 39m
Following,Thriller,6.5, 1.3K,1h 42m
Laws of Man,Thriller,5.5, 1K,1h 38m
All the Lost Ones,Thriller,3.8, 239,1h 46m
Hijack 1971,Thriller,6.8, 3.3K,1h 40m
Steppenwolf,Thriller,6.5, 254,1h 42m
Mørkeland,Thriller,6.2, 959,1h 39m
Guns & Moses,Thriller,8.1, 44,1h 34m
Scurry,Thriller,7.6, 26,1h 30m
Are You There?,Thriller,6.9, 48,1h 28m
To a Land Unknown,Thriller,7.3, 469,1h 45m
The Sabarmati Report,Thriller,6.4, 24K,2h 7m
Trapped Inn,Thriller,2.7, 905,1h 55m
Stolen,Thriller,5.7, 2.2K,1h 45m
Crescent City,Thriller,3.9, 1.3K,1h 43m
Hidden Face,Thriller,6.1, 518,1h 55m
Cellphone,Thriller,3.0, 707,1h 28m
The Painted,Thriller,4.8, 298,1h 25m
American Star,Thriller,5.5, 2.5K,1h 47m
Freedom,Thriller,5.9, 1.4K,1h 50m
In Vitro,Thriller,6.3, 126,1h 29m
Utopia,Thriller,3.6, 357,1h 31m
Maldoror,Thriller,7.0, 584,2h 35m
Angels Fallen: Warriors of Peace,Thriller,4.9, 5.8K,1h 43m
1978,Thriller,5.4, 195,1h 16m
Peter Five Eight,Thriller,3.5, 1.1K,1h 40m
Arena Wars,Thriller,4.9, 2.1K,1h 36m
We Are Wolves,Thriller,3.5, 259,1h 37m
Vanished Into the Night,Thriller,5.2, 4.6K,1h 32m
Vejen hjem,Thriller,6.6, 729,1h 38m
The Corpse Washer,Thriller,6.2, 1.2K,1h 47m
Wynonna Earp: Vengeance,Thriller,5.5, 1.5K,1h 36m
Merry Christmas,Thriller,6.9, 30K,2h 24m
Jacob Tyler,Thriller,4.3, 56,2h 13m
Chime,Thriller,6.4, 2.3K,45m
Here Now,Thriller,4.9, 393,1h 58m
Butas,Thriller,4.9, 134,1h 52m
Hellhound,Thriller,4.3, 502,1h 43m
Unspeakable: Beyond the Wall of Sleep,Thriller,6.2, 47,1h 30m
The Diary,Thriller,5.0, 908,1h 22m
5lbs of Pressure,Thriller,5.3, 1.6K,1h 51m
#AMFAD: All My Friends Are Dead,Thriller,4.4, 1.2K,1h 31m
Zero,Thriller,6.1, 41,1h 28m
Love Bomb,Thriller,3.0, 253,1h 15m
Decoded,Thriller,5.8, 429,2h 36m
Wanted Man,Thriller,4.8, 2.6K,1h 25m
Grave Torture,Thriller,6.2, 2.8K,1h 57m
Race for Glory: Audi vs. Lancia,Thriller,5.8, 4.7K,1h 49m
Heart of the Hunter,Thriller,4.7, 2.1K,1h 45m
Continental Split,Thriller,3.5, 544,1h 28m
Lazareth,Thriller,4.4, 916,1h 26m
Shark Girl,Thriller,2.6, 155,1h 22m
Strangers,Thriller,4.3, 385,1h 46m
Una ballena,Thriller,6.0, 73,1h 48m
72 Hours,Thriller,4.1, 285,1h 27m
The Visitors,Thriller,5.8, 88,1h 24m
Saripodhaa Sanivaaram,Thriller,7.0, 9K,2h 46m
Parallel,Thriller,5.3, 1.9K,1h 28m
Hisaab Barabar,Thriller,5.8, 1.7K,1h 52m
Eat the Night,Thriller,6.1, 464,1h 46m
Sew Torn,Thriller,6.5, 197,1h 40m
The Intruder,Thriller,4.7, 519,1h 41m
Sorgavaasal,Thriller,6.6, 1.3K,2h 18m
Alien: Rubicon,Thriller,2.4, 337,1h 26m
To Die Alone,Thriller,5.8, 78,1h 24m
Within the Pines,Thriller,7.9, 9,1h 13m
Shoutai,Thriller,6.9, 539,2h
Boundless,Thriller,5.6, 1.9K,2h 1m
4PM,Thriller,5.9, 89,1h 51m
Stepmom from Hell,Thriller,4.8, 136,1h 28m
The Cut,Thriller,6.9, 97,1h 39m
The Island,Thriller,4.8, 470,2h 8m
Bade Miyan Chote Miyan,Thriller,3.7, 39K,2h 43m
Demon Slayer: Kimetsu No Yaiba - To the Hashira Training,Thriller,7.1, 8.4K,1h 44m
Kotee,Thriller,6.4, 331,2h 30m
Cheat,Thriller,4.1, 193,1h 45m
The Good Teacher,Thriller,6.6, 1.9K,1h 31m
The Hangman,Thriller,3.3, 999,1h 32m
Roadkill,Thriller,3.7, 678,1h 30m
Belle,Thriller,5.8, 57,1h 40m
Mother Father Sister Brother Frank,Thriller,5.8, 237,1h 25m
Unpredictable,Thriller,5.4, 404,1h 41m
Blink,Thriller,7.0, 1.5K,2h 16m
Maid Droid Origins,Thriller,3.0, 319,1h 36m
Freelance,Thriller,4.8, 337,1h 50m
Saint Clare,Thriller,7.6, 88,1h 32m
Ghost Trail,Thriller,6.6, 795,1h 46m
Escape,Thriller,6.4, 2K,1h 34m
Bloodline Killer,Thriller,3.8, 4.4K,1h 45m
Ferry 2,Thriller,5.6, 3.8K,1h 34m
The Bad Shepherd,Thriller,4.3, 776,1h 31m
Savi,Thriller,6.2, 35K,2h 6m
Despatch,Thriller,4.4, 4.4K,2h 33m
Model House,Thriller,4.0, 1.1K,1h 25m
Succubus,Thriller,3.5, 835,1h 36m
40 Acres,Thriller,6.8, 127,1h 53m
Faultline,Thriller,5.7, 89,1h 32m
DarkGame,Thriller,4.6, 2.8K,1h 40m
Drive Back,Thriller,4.7, 298,1h 34m
12 to Midnight,Thriller,3.6, 285,1h 36m
Hijack '93,Thriller,3.8, 855,1h 27m
Sharp Corner,Thriller,7.2, 80,1h 50m
Til Death Do Us Part,Thriller,6.6, 178,1h 30m
Please Don't Feed the Children,Thriller,5.5, 67,1h 34m
Beezel,Thriller,4.8, 1.3K,1h 21m
I Am Kathalan,Thriller,6.7, 1.1K,1h 55m
The Long Game,Thriller,7.5, 57,1h 28m
Raayan,Thriller,6.5, 11K,2h 25m
How to Make a Killing,Thriller,6.6, 708,1h 49m
Guna guna istri muda,Thriller,4.7, 108,1h 38m
The Last Front,Thriller,5.5, 607,1h 38m
Held Hostage in My House,Thriller,4.7, 126,1h 30m
Salawahan,Thriller,5.8, 447,1h 56m
Steal Her Breath,Thriller,6.1, 81,1h 50m
Grassland,Thriller,8.4, 59,1h 28m
Suk Mung,Thriller,6.1, 112,1h 37m
The Windigo,Thriller,4.7, 693,1h 25m
Séance Games: Metaxu,Thriller,3.3, 180,1h 26m
Previously Saved Version,Thriller,5.5, 418,1h 57m
Junction,Thriller,5.2, 311,1h 38m
The Greatest of All Time,Thriller,5.7, 22K,3h 3m
Black Eyed Susan,Thriller,4.9, 336,1h 25m
Gekijô-ban Blue Lock -Episode Nagi-,Thriller,6.6, 2.5K,1h 31m
Disciples in the Moonlight,Thriller,3.9, 638,2h 6m
Bionic,Thriller,4.3, 1.7K,1h 50m
Why Do You?,Thriller,5.3, 419,1h 43m
Maternal,Thriller,5.3, 88,1h 23m
You Shall Not Sleep Tonight,Thriller,4.1, 351,1h 17m
Fear,Thriller,8.5, 2.8K,1h 55m
Kanguva,Thriller,4.5, 15K,2h 32m
Shadow Land,Thriller,3.6, 459,1h 29m
Unexposed,Thriller,7.6, 66,1h 3m
Vedaa,Thriller,6.0, 4.3K,2h 25m
Big Rage,Thriller,3.6, 164,1h 55m
Believer,Thriller,4.5, 371,1h 48m
Kryptic,Thriller,6.3, 97,1h 36m
The Monster Beneath Us,Thriller,5.8, 417,1h 43m
KA,Thriller,7.2, 1.5K,2h 31m
Bystanders,Thriller,3.9, 289,1h 22m
Curse of the Sin Eater,Thriller,4.9, 744,1h 30m
Konchitsya leto,Thriller,7.2, 112,1h 58m
He Ain't Heavy,Thriller,6.0, 361,1h 42m
The School Duel,Thriller,8.7, 74,1h 30m
The Past Comes Knocking,Thriller,5.7, 79,1h 21m
Possession: Kerasukan,Thriller,3.5, 283,1h 34m
Indian 2,Thriller,3.8, 16K,15
Invasion,Thriller,4.8, 671,1h 31m
Yodha,Thriller,5.7, 8.8K,2h 10m
Abducted Off the Street: The Carlesha Gaither Story,Thriller,6.9, 176,1h 30m
The Redemption of Sin,Thriller,5.9, 180,1h 56m
Panggonan Wingit 2: Miss K,Thriller,7.0, 100,1h 43m
Adopted,Thriller,4.0, 216,1h 23m
Serpent's Path,Thriller,5.8, 282,1h 52m
The Girl Who Wore Yellow Lace,Thriller,4.6, 21,1h 22m
Familia,Thriller,6.8, 290,2h
Kuyang,Thriller,5.2, 463,1h 37m
1 Million Followers,Thriller,4.8, 667,1h 41m
Balestra,Thriller,5.1, 522,2h 25m
Sons of Rizk 3,Thriller,6.7, 1.7K,2h 5m
Blackout,Thriller,6.1, 10K,2h 2m
Un cuento de pescadores,Thriller,7.3, 39,1h 43m
Sunset Superman,Thriller,6.0, 151,1h 21m
Hunting with Tigers,Thriller,5.6, 524,1h 49m
Kupu-Kupu Kertas,Thriller,6.9, 161,1h 53m
Unit 234,Thriller,5.5, 281,1h 26m
Dancing Village: The Curse Begins,Thriller,5.7, 4.2K,2h 2m
Ghost Game,Thriller,3.4, 291,1h 26m
Amongst the Wolves,Thriller,6.7, 30,1h 40m
Stranger in the Woods,Thriller,3.5, 1.3K,1h 22m
A Desert,Thriller,6.3, 160,1h 43m
Transplant,Thriller,8.4, 18,1h 33m
Neulbomgadeun,Thriller,4.4, 176,1h 30m
Last Known Location,Thriller,6.3, 1.4K,1h 50m
Beyond the Rush,Thriller,8.2, 375,1h 34m
A Savior Red,Thriller,5.8, 241,1h 27m
FanGirl,Thriller,4.4, 34,1h 20m
Went Up the Hill,Thriller,6.8, 77,1h 40m
Demise,Thriller,4.2, 309,2h 15m
The Moon Thieves,Thriller,6.1, 246,1h 48m
Brief History of a Family,Thriller,6.7, 417,1h 40m
Customs Frontline,Thriller,5.4, 481,1h 55m
Vijay LLB: The Advocate,Thriller,7.2, 26,2h 5m
Salve Maria,Thriller,6.4, 466,1h 51m
Last Night at Terrace Lanes,Thriller,4.3, 629,1h 15m
