Movie Name,Genre,Ratings,Voting Counts,Duration
Shark Warning,Action,3.4, 264,1h 34m
Crisis Negotiators,Action,6.7, 707,2h
Garudan,Action,7.1, 3.3K,2h 13m
First Nights at Freddy's,Action,9.3, 15,1h 38m
Martin,Action,2.3, 36K,2h 27m
Yudhra,Action,5.0, 13K,2h 22m
Non Negotiable,Action,5.4, 1.2K,1h 27m
Dharmarakshak Mahaveer Chhatrapati Sambhaji Maharaj,Action,8.2, 657,2h 54m
(Pri)sons,Action,5.1, 267,1h 40m
Sheriff,Action,6.9, 1.1K,2h 13m
Baki Hanma VS Kengan Ashura,Action,5.7, 1.9K,1h 2m
I Heart Robots,Action,4.6, 2.4K,1h 16m
Sobanggwan,Action,5.7, 179,1h 46m
Rajakili,Action,7.3, 572,2h 2m
The Day Everything Changed,Action,7.9, 79,1h 37m
Young Lion of the West,Action,5.2, 108,1h 33m
American Warrior,Action,8.7, 24,1h 29m
Art of Eight Limbs,Action,3.9, 310,1h 41m
Alangu,Action,8.2, 1.2K,2h 11m
Lal Salaam,Action,4.5, 1.3K,2h 30m
Kahar: Kapla High Council,Action,6.9, 450,1h 42m
Echo 8,Action,3.9, 191,1h 36m
The Bouncer,Action,4.2, 87,1h 18m
Diabel,Action,5.1, 239,1h 48m
Aho Vikramaarka,Action,7.4, 53,2h 16m
Crosspoint,Action,6.8, 40,1h 40m
S.T.A.L.K.E.R.: Shadow of the Zone,Action,5.2, 454,1h 12m
Operation Valentine,Action,5.3, 1.4K,2h 13m
Mummy Shark,Action,2.0, 176,1h 6m
Pusaka,Action,6.5, 34,1h 30m
Mobile Suit Gundam SEED Freedom,Action,6.6, 944,2h 4m
Jathara,Action,6.4, 1.1K,2h 9m
What Happens in Miami,Action,4.3, 219,1h 30m
Paradise,Action,6.9, 77,1h 23m
Mongol,Action,8.7, 93,2h 35m
Shark Island,Action,3.2, 115,1h 21m
Aserb: The Squadron,Action,5.2, 304,2h
Clone Cops,Action,8.0, 191,1h 36m
Yi ren zhi xia,Action,5.2, 207,2h 14m
The Grey Men,Action,6.4, 70,1h 37m
Checkmate,Action,4.3, 386,1h 44m
Bloodline,Action,9.2, 49,1h 20m
Six jours,Action,6.4, 100,1h 35m
The Wild Blade of Strangers,Action,6.2, 113,1h 42m
Sector 17,Action,5.4, 1.3K,2h 26m
Correr para Vivir,Action,7.0, 196,1h 37m
Witch Hunter,Action,5.2, 23,1h 20m
Agastya - Chapter 1,Action,6.9, 597,2h 48m
Yuva,Action,5.8, 834,2h 33m
Bad Boyz,Action,4.6, 606,2h 30m
Captain Miller,Action,6.5, 8.6K,2h 37m
Saindhav,Action,5.0, 1.6K,2h 18m
Naam,Action,6.3, 277,2h 16m
Ship of the Damned,Action,2.8, 295,1h 28m
Warrior Awang and Master Tok Gajah,Action,4.6, 472,1h 58m
Next to Us,Action,4.9, 222,2h 5m
Love You to Debt,Action,6.2, 756,2h 15m
Bachhala Malli,Action,8.3, 3.9K,2h 20m
Mathu Vadalara 2,Action,7.0, 1.6K,2h 19m
Conquer: Lahad Datu,Action,6.6, 506,2h
Iddaru,Action,8.8, 296,2h 28m
Ape X Mecha Ape: New World Order,Action,2.8, 134,1h 27m
Zebra,Action,8.0, 3.2K,2h 44m
Buying Time,Action,5.5, 309,1h 24m
Purushothamudu,Action,7.4, 13,2h
Iron Fighter,Action,3.6, 62,1h 20m
Mazhai Pidikatha Manithan,Action,4.5, 424,2h 13m
Dirty Money,Action,5.6, 113,1h 40m
24 Hours to D-Day,Action,4.6, 36,1h 23m
The Infallibles,Action,4.8, 751,1h 39m
The Kingdom,Action,7.9, 88,2h 13m
Sucha Soorma,Action,6.4, 916,2h 16m
Devaki Nandana Vasudeva,Action,8.8, 2.7K,2h 8m
Shekko,Action,6.0, 554,2h
Ballistic,Action,2.3, 161,1h 35m
Sikaar,Action,8.3, 677,2h 30m
Hakkenden,Action,5.7, 74,2h 29m
High Forces,Action,5.7, 522,1h 59m
Clownface 3,Action,9.5, 35,1h 44m
Taklee Genesis x Worlds Collide,Action,5.4, 402,2h 26m
Rang De Basanti,Action,8.8, 144,2h 54m
The Experts,Action,6.2, 264,2h 1m
Sunfall,Action,2.3, 36,1h 14m
Camp Blood: Clown Shark,Action,3.3, 86,1h 10m
Memes & Nightmares,Action,5.7, 84,1h 21m
6 Hours Away,Action,3.9, 242,1h 33m
Turbo,Action,5.9, 3.6K,2h 35m
Rode College,Action,6.6, 424,2h 48m
Malayalee from India,Action,5.6, 5K,2h 40m
Siren,Action,6.4, 2.9K,2h 34m
Kung Fu Games,Action,3.3, 378,1h 38m
Onsen shâku,Action,5.9, 28,1h 10m
Premalo,Action,7.3, 1.1K,2h 8m
Mu zhong wu ren 2,Action,6.6, 500,1h 30m
Ghost Killer,Action,7.1, 63,1h 45m
Kuang Bao Ju Xi,Action,6.0, 71,1h 15m
Kizumonogatari: Koyomi Vamp,Action,7.0, 87,2h 24m
The Epidemic,Action,5.8, 70,1h 35m
Big City Greens the Movie: Spacecation,Action,6.2, 539,1h 23m
Texas Twister,Action,2.5, 157,1h 28m
Cholo Zombies,Action,4.7, 102,1h 36m
Road Wars: Max Fury,Action,2.0, 350,1h 23m
Mr. Bachchan,Action,3.6, 5.3K,2h 30m
Gandhi 3,Action,5.5, 238,2h 23m
Breaking and Re-entering,Action,5.8, 440,1h 49m
Shu Si Yi Bo,Action,6.6, 32,1h 31m
My Fathers' Daughter,Action,6.7, 74,1h 18m
Stranded Pearl,Action,6.0, 27,1h 30m
Prepare to Die,Action,4.6, 232,1h 33m
Bhairadevi,Action,8.9, 46,2h 14m
Bhaiyya Ji,Action,4.8, 7.4K,2h 30m
Ameena,Action,6.4, 19,1h 47m
Mission: Chapter 1,Action,5.9, 1.7K,2h 24m
The Miranda Brothers,Action,4.4, 189,1h 39m
How to Make a Werewolf,Action,5.9, 138,16+
Game On,Action,5.3, 2.3K,2h 20m
SCP: The Infinite Mission,Action,6.0, 32,16+
The Heist,Action,6.9, 2K,2h
The Mick and the Trick,Action,5.0, 75,1h 36m
Where Is Gilgamesh?,Action,9.0, 605,1h 30m
Anchakkallakokkan,Action,6.6, 1K,2h 6m
Bastar: The Naxal Story,Action,6.4, 3.3K,2h 4m
Buddy,Action,3.9, 342,2h 17m
In Tenebras: Into the Darkness,Action,3.3, 174,1h 30m
Blocking the Horse,Action,6.5, 12,1h 34m
Tòkunbò,Action,3.9, 294,1h 53m
They Call Her Death,Action,6.6, 26,1h 32m
Panjab Files,Action,8.1, 19,1h 57m
Kill Craft,Action,2.3, 363,1h 39m
The Omicron Killer,Action,2.9, 594,1h 38m
Samandar,Action,7.7, 138,2h 52m
Nu Huo 12 Xiao Shi,Action,6.0, 47,1h 26m
Double iSmart,Action,2.9, 2.1K,2h 36m
Tariq,Action,6.5, 18,2h 2m
Nintama Rantaro Dokutake Ninja-tai Saikyou no Gunshi,Action,7.1, 17,1h 30m
Nothing Even Matters,Action,5.5, 77,1h 30m
Jithender Reddy,Action,9.5, 2.4K,2h 16m
DNA,Action,5.1, 210,2h 36m
The Worlds Divide,Action,8.0, 38,2h
Fighting the Fire,Action,8.6, 1.7K,1h 55m
Anunnakiler,Action,2.5, 445,1h 16m
Touchdown,Action,6.8, 14,1h 18m
Red vs. Blue: Restoration,Action,5.6, 136,1h 25m
Tokusou Sentai Dekaranger 20th: Fireball Booster,Action,7.1, 30,50m
Fyre Rises,Action,6.5, 321,1h 50m
Mutant,Action,4.5, 59,1h 30m
Bangkok Breaking: Fa Narok Mueang Thewada,Action,5.8, 663,2h 26m
Gone with the Dead the Movie,Action,4.4, 47,1h 36m
Gold Raiders,Action,2.0, 183,1h 28m
Bonus Trip,Action,4.5, 224,1h 53m
Pottel,Action,8.2, 2.7K,2h 28m
Orang Ikan,Action,6.7, 34,1h 23m
The Slave and the Sorcerer,Action,6.6, 39,1h 26m
